iteration 1000, accuracy:0.3538219070133964, max accuracy:0.3538219070133964, loss:381.4552307128906, min Loss:381.4552307128906
iteration 2000, accuracy:0.39401103230890466, max accuracy:0.39401103230890466, loss:128.40216064453125, min Loss:128.40216064453125
iteration 3000, accuracy:0.42710795902285265, max accuracy:0.42710795902285265, loss:116.45230865478516, min Loss:114.25038146972656
iteration 4000, accuracy:0.4444444444444444, max accuracy:0.4444444444444444, loss:102.9796371459961, min Loss:102.9796371459961
iteration 5000, accuracy:0.44129235618597323, max accuracy:0.4444444444444444, loss:99.12413787841797, min Loss:92.62603759765625
iteration 6000, accuracy:0.44680851063829785, max accuracy:0.44680851063829785, loss:81.02084350585938, min Loss:81.02084350585938
iteration 7000, accuracy:0.44838455476753347, max accuracy:0.44838455476753347, loss:70.31574249267578, min Loss:70.15460205078125
iteration 8000, accuracy:0.44680851063829785, max accuracy:0.44838455476753347, loss:58.46764373779297, min Loss:58.46764373779297
iteration 9000, accuracy:0.45390070921985815, max accuracy:0.45390070921985815, loss:49.6612663269043, min Loss:49.6612663269043
iteration 10000, accuracy:0.46020488573680063, max accuracy:0.46020488573680063, loss:43.34433364868164, min Loss:43.34433364868164
iteration 11000, accuracy:0.46099290780141844, max accuracy:0.46099290780141844, loss:39.475772857666016, min Loss:39.24367904663086
iteration 12000, accuracy:0.4499605988967691, max accuracy:0.46099290780141844, loss:37.102943420410156, min Loss:36.90769577026367
iteration 13000, accuracy:0.4641449960598897, max accuracy:0.4641449960598897, loss:34.843955993652344, min Loss:34.843955993652344
iteration 14000, accuracy:0.4562647754137116, max accuracy:0.4641449960598897, loss:33.465736389160156, min Loss:33.465736389160156
iteration 15000, accuracy:0.4649330181245075, max accuracy:0.4649330181245075, loss:32.2264518737793, min Loss:32.207088470458984
iteration 16000, accuracy:0.4743892828999212, max accuracy:0.4743892828999212, loss:31.25786781311035, min Loss:31.24767303466797
iteration 17000, accuracy:0.46020488573680063, max accuracy:0.4743892828999212, loss:31.784427642822266, min Loss:30.40390396118164
iteration 18000, accuracy:0.46808510638297873, max accuracy:0.4743892828999212, loss:29.639671325683594, min Loss:29.637130737304688
iteration 19000, accuracy:0.47044917257683216, max accuracy:0.4743892828999212, loss:28.952383041381836, min Loss:28.940366744995117
iteration 20000, accuracy:0.4499605988967691, max accuracy:0.4743892828999212, loss:59.28656768798828, min Loss:28.351226806640625
