iteration 1000, accuracy:0.40138751238850345, max accuracy:0.40138751238850345, loss:68.07818603515625, min Loss:68.07818603515625
iteration 2000, accuracy:0.39742319127849357, max accuracy:0.40138751238850345, loss:31.473400115966797, min Loss:31.473400115966797
iteration 3000, accuracy:0.4222001982160555, max accuracy:0.4222001982160555, loss:22.05775260925293, min Loss:22.05775260925293
iteration 4000, accuracy:0.4241823587710605, max accuracy:0.4241823587710605, loss:18.49091911315918, min Loss:18.303178787231445
iteration 5000, accuracy:0.4370664023785927, max accuracy:0.4370664023785927, loss:16.126869201660156, min Loss:16.126869201660156
iteration 6000, accuracy:0.4514370664023786, max accuracy:0.4514370664023786, loss:14.538885116577148, min Loss:14.532210350036621
iteration 7000, accuracy:0.45639246778989095, max accuracy:0.45639246778989095, loss:13.805880546569824, min Loss:13.350173950195312
iteration 8000, accuracy:0.45589692765113976, max accuracy:0.45639246778989095, loss:12.442686080932617, min Loss:12.398930549621582
iteration 9000, accuracy:0.4588701684836472, max accuracy:0.4588701684836472, loss:11.691612243652344, min Loss:11.620713233947754
iteration 10000, accuracy:0.4643211100099108, max accuracy:0.4643211100099108, loss:11.020933151245117, min Loss:10.993433952331543
iteration 11000, accuracy:0.433597621407334, max accuracy:0.4643211100099108, loss:12.896503448486328, min Loss:10.481727600097656
iteration 12000, accuracy:0.4732408325074331, max accuracy:0.4732408325074331, loss:10.0478515625, min Loss:10.026371955871582
iteration 13000, accuracy:0.4767096134786918, max accuracy:0.4767096134786918, loss:9.755409240722656, min Loss:9.656294822692871
iteration 14000, accuracy:0.479187314172448, max accuracy:0.479187314172448, loss:9.464219093322754, min Loss:9.28553295135498
iteration 15000, accuracy:0.4697720515361744, max accuracy:0.479187314172448, loss:9.491421699523926, min Loss:8.95154094696045
iteration 16000, accuracy:0.489593657086224, max accuracy:0.489593657086224, loss:8.69813060760498, min Loss:8.66285228729248
iteration 17000, accuracy:0.4930624380574827, max accuracy:0.4930624380574827, loss:8.428462028503418, min Loss:8.426569938659668
iteration 18000, accuracy:0.4886025768087215, max accuracy:0.4930624380574827, loss:8.480987548828125, min Loss:8.225123405456543
iteration 19000, accuracy:0.5004955401387512, max accuracy:0.5004955401387512, loss:8.052699089050293, min Loss:8.02880573272705
iteration 20000, accuracy:0.4985133795837463, max accuracy:0.5004955401387512, loss:7.944936752319336, min Loss:7.867591381072998
iteration 21000, accuracy:0.4658077304261645, max accuracy:0.5004955401387512, loss:9.04050064086914, min Loss:7.701830863952637
iteration 22000, accuracy:0.5024777006937562, max accuracy:0.5024777006937562, loss:7.61033821105957, min Loss:7.555992603302002
iteration 23000, accuracy:0.5049554013875124, max accuracy:0.5049554013875124, loss:7.6740875244140625, min Loss:7.414053916931152
iteration 24000, accuracy:0.5014866204162537, max accuracy:0.5049554013875124, loss:7.680372714996338, min Loss:7.283777236938477
iteration 25000, accuracy:0.5074331020812686, max accuracy:0.5074331020812686, loss:7.342645168304443, min Loss:7.170768737792969
iteration 26000, accuracy:0.5, max accuracy:0.5074331020812686, loss:7.398858547210693, min Loss:7.055771350860596
