16,[-0.6418,-0.1537,-0.3686,-0.3274,-0.0022,-0.3038, 0.    , 0.    ],[-2.3295,-2.2207,-2.5226,-3.9626],[-0.6457,-0.1617,-0.3789,-0.3543,-0.0154,-0.2625, 1.    , 0.    ],5.5163
17,[-0.5291, 0.0696,-0.2717,-0.257 ,-0.0204,-0.5764, 0.    , 1.    ],[-4.6869,-4.5995,-3.621 ,-3.239 ],[-0.5321, 0.064 ,-0.2475,-0.2512,-0.0687,-0.9662, 0.    , 1.    ],-2.9475
18,[-0.6457,-0.1617,-0.3789,-0.3543,-0.0154,-0.2625, 1.    , 0.    ],[-4.1936,-1.1047, 0.8574,-2.3166],[-0.6493,-0.1685,-0.3658,-0.3021,-0.0082, 0.145 , 1.    , 1.    ],14.3302
20,[-0.4463, 0.0209,-0.3388,-0.3054,-0.0306,-0.0611, 0.    , 0.    ],[-10.9577, -7.6017,-10.1504,-11.2478],[-0.4498, 0.0134,-0.3483,-0.3319,-0.0318,-0.0226, 0.0714, 0.    ],-2.2365
22,[-0.2719, 0.0031,-0.4769,-0.4038,-0.0622,-0.0305, 1.    , 0.    ],[-4.6925,-5.0186,-3.3727,-4.5771],[-0.2766,-0.0049,-0.4868,-0.3547,-0.045 , 0.3452, 1.    , 0.    ],3.1984
24,[-0.5503, 0.0221,-0.2775,-0.3167,-0.024 , 0.023 , 0.    , 0.    ],[-12.3062, -9.8208,-10.7011,-11.3429],[-0.553 , 0.0154,-0.2762,-0.297 ,-0.0223, 0.0329, 0.0256, 0.    ],1.3416
27,[-0.651 ,-0.1716,-0.3538,-0.2888,-0.0056, 0.1246, 1.    , 1.    ],[ 0.    , 0.    ,-0.1279,-0.0351],[-6.5434e-01,-1.7703e-01,-3.3934e-01,-2.4119e-01,-1.7412e-04, 1.0704e-01,
  1.0000e+00, 1.0000e+00],3.6104
30,[-0.2766,-0.0049,-0.4868,-0.3547,-0.045 , 0.3452, 1.    , 0.    ],[-7.0007,-7.4119,-6.0149,-6.4942],[-0.281 ,-0.0129,-0.4726,-0.3573,-0.0107, 0.6869, 1.    , 1.    ],13.9334
31,[-0.281 ,-0.0129,-0.4726,-0.3573,-0.0107, 0.6869, 1.    , 1.    ],[-3.1937,-3.1391,-1.3582,-2.9366],[-0.2852,-0.0191,-0.4597,-0.2736, 0.0245, 0.7008, 1.    , 1.    ],3.6087
32,[-0.5842,-0.0925,-0.3447,-0.2735, 0.0561,-0.2664, 0.    , 0.    ],[-0.751 ,-0.3898,-2.0802,-0.9772],[-0.5878,-0.0989,-0.3505,-0.2821, 0.0456,-0.21  , 0.1429, 0.    ],0.8084
33,[-0.4869,-0.0249,-0.251 ,-0.2939, 0.0975,-0.4775, 0.    , 1.    ],[ 2.6233,-3.747 ,-5.3973,-4.9933],[-0.4896,-0.0321,-0.2444,-0.3142, 0.0669,-0.6129, 0.    , 1.    ],1.5636
35,[-0.4804,-0.1479,-0.3949,-0.2641, 0.1982,-0.435 , 1.    , 1.    ],[-5.0114,-3.0174,-4.2817,-3.6009],[-0.4847,-0.1535,-0.4109,-0.2477, 0.1838,-0.2861, 1.    , 1.    ],0.4964
