20,[-0.4885, 0.0311,-0.257 ,-0.3093,-0.04  ,-0.0194, 0.    , 0.    ],[-7.6682,-1.7566,-7.251 ,-7.9343],[-0.4911, 0.0235,-0.2675,-0.3356,-0.0389, 0.0226, 0.3333, 0.    ],0.4908
21,[-0.2957, 0.0857,-0.2549,-0.3024,-0.03  ,-0.0203, 0.    , 1.    ],[ 0.    ,-0.1665,-1.5073, 0.0953],[-0.298 , 0.0793,-0.2021,-0.2857,-0.0508,-0.4171, 0.    , 1.    ],2.4027
24,[-0.486 , 0.0441,-0.2632,-0.3333,-0.0385, 0.0468, 0.    , 0.    ],[-4.1214,-5.5373,-5.4371,-4.5801],[-0.4886, 0.0366,-0.261 ,-0.3352,-0.0364, 0.0411, 0.    , 0.    ],-0.2529
26,[-0.4891,-0.015 ,-0.2653,-0.3517,-0.0192, 0.0206, 1.    , 0.    ],[-1.9274,-2.6862,-0.34  ,-1.7334],[-0.4916,-0.022 ,-0.274 ,-0.3121, 0.0008, 0.4014, 0.    , 0.    ],-6.2197
30,[-0.522 , 0.0154,-0.2865,-0.2885,-0.0265, 0.538 , 1.    , 0.    ],[-3.8061,-3.803 ,-1.9336,-3.9605],[-0.5248, 0.0101,-0.3164,-0.2362, 0.0157, 0.8445, 1.    , 0.    ],0.7675
36,[-0.6485,-0.1434,-0.2769,-0.2746, 0.0915,-0.0217, 0.    , 0.    ],[-5.8217,-1.5469,-6.9324,-7.0462],[-0.6514,-0.15  ,-0.2841,-0.2934, 0.0918, 0.0059, 0.1667, 0.3333],2.6475
37,[-0.7965,-0.1536,-0.2658,-0.2735, 0.0034,-0.0185, 0.    , 1.    ],[-0.8176, 0.0872,-1.8634,-1.4117],[-0.7988,-0.1588,-0.2375,-0.2331, 0.0068, 0.0607, 1.    , 1.    ],14.1721
40,[-0.6743,-0.1757,-0.3207,-0.2767, 0.1411, 0.0299, 0.    , 0.    ],[-7.8565,-8.8135,-2.6482,-9.3573],[-0.6776,-0.1815,-0.3331,-0.2552, 0.1425, 0.0277, 0.    , 0.    ],-0.5455
43,[-0.4182,-0.0907,-0.2651,-0.2922, 0.0213, 0.0099, 1.    , 1.    ],[ 0.    ,-2.2159, 0.    , 0.6425],[-0.4206,-0.0961,-0.242 ,-0.243 , 0.0212,-0.0042, 1.    , 1.    ],4.794
44,[-0.5077,-0.0214,-0.3088,-0.2816, 0.1026, 0.8926, 0.    , 0.    ],[-4.7311,-4.5996,-1.162 ,-4.1043],[-0.5103,-0.0268,-0.3173,-0.2461, 0.1555, 1.0589, 0.3333, 0.3333],2.5204
46,[-0.4411,-0.0331,-0.3038,-0.288 , 0.1761, 1.1975, 1.    , 0.    ],[-6.0263,-8.2674,-6.5648,-6.4058],[-0.4436,-0.0391,-0.3139,-0.277 , 0.2402, 1.2824, 0.5   , 0.    ],-11.4988
49,[-0.4203,-0.0569,-0.5057,-0.267 , 0.4845,-0.4668, 0.    , 1.    ],[-5.7624,-6.0926,-5.4894,-5.0732],[-0.4257,-0.0629,-0.5134,-0.2556, 0.4497,-0.6972, 0.6667, 1.    ],9.4029
51,[-0.3847,-0.1209,-0.5881,-0.2692, 0.3608,-0.7903, 1.    , 1.    ],[-6.4381,-5.5973,-5.9346,-5.5424],[-0.3911,-0.1269,-0.6086,-0.2595, 0.3333,-0.5489, 1.    , 1.    ],0.4513
53,[-0.5362,-0.2143,-0.6275,-0.2584, 0.4635,-0.1604, 0.    , 1.    ],[-3.6505,-1.6197,-3.5745,-5.2566],[-0.5427,-0.2207,-0.6406,-0.2801, 0.4528,-0.214 , 1.    , 1.    ],8.1498
